cremona_label,lmfdb_label,conductor,first_failure,all_new_failures,evidence_level,evidence
14a1,14.a6,14,P_ISOGENY_3,P_ISOGENY_3,PRIMARY_DATABASE,LMFDB: non-trivial cyclic 3-isogeny; old dynamic A did not include 3.
34a1,34.a4,34,P_ISOGENY_3,P_ISOGENY_3,PRIMARY_DATABASE,"LMFDB curve page: non-trivial cyclic isogenies of degree 2,3,6; old A did not include 3."
66c1,66.c3,66,P_ISOGENY_5,P_ISOGENY_5,PRIMARY_DATABASE,LMFDB: rational 5-isogeny / 5-torsion; old A included 3 but not 5.
26a1,26.a2,26,P_ISOGENY_3,P_ISOGENY_3,PRIMARY_DATABASE,LMFDB: rational 3-torsion / 3-isogeny; a3=1 so old A did not include 3.
26b1,26.b2,26,P_ISOGENY_7,P_ISOGENY_7|A3_ABS_3,PRIMARY_DATABASE,LMFDB: non-trivial cyclic 7-isogeny and a3=-3. New p-isogeny gate executes before new a3 gate.
35a1,35.a3,35,P_ISOGENY_3,P_ISOGENY_3,PRIMARY_DATABASE,"LMFDB class: rational 3-isogeny / torsion 3; old A watched 5 and 7, not 3."
38a1,38.a3,38,P_ISOGENY_3,P_ISOGENY_3,PRIMARY_DATABASE,LMFDB class isogeny matrix contains degree 3; a3=1.
38b1,38.b2,38,P_ISOGENY_5,P_ISOGENY_5,PRIMARY_DATABASE,LMFDB: torsion Z/5Z and non-trivial cyclic 5-isogeny; a3=-1.
106a1,106.c2,106,P_ISOGENY_3,P_ISOGENY_3,PRIMARY_DATABASE,LMFDB: torsion Z/3Z / degree-3 isogeny; old pass implies old dynamic A did not activate 3.
110c1,110.a1,110,P_ISOGENY_3,P_ISOGENY_3,PRIMARY_TABLE_PLUS_OFFICIAL_MAPPING,Cremona conductor-110 table: Cremona class C is a two-curve degree-3 isogeny class; old fixture maps 110c1 to 110.a1.
110b1,110.c1,110,P_ISOGENY_3,P_ISOGENY_3,PRIMARY_DATABASE,"LMFDB class 110.c has isogeny matrix [[1,3],[3,1]]; 110.c1 is Cremona 110b1."
142e1,142.c1,142,A3_ABS_3,A3_ABS_3,PRIMARY_TABLE_PLUS_EXACT_COMPUTATION,"Cremona table: class E1 is singleton (no listed prime isogeny). Its model y^2+xy=x^3-x^2-2626x+52244 has #E(F3)=1, hence a3=3."
142d1,142.e2,142,P_ISOGENY_3,P_ISOGENY_3,PRIMARY_DATABASE,LMFDB: non-trivial cyclic degree-3 isogeny; a3=1.
